TransactionID,Product
1,"Banana, Chips, Bread, Cereal"
2,"Eggs, Beer, Coffee, Banana, Chicken"
3,"Beef, Beer, Cereal, Sugar"
4,"Apple, Chocolate"
5,"Bread, Tea"
6,"Cheese, Cereal"
7,"Beef, Cereal"
8,"Diaper, Apple, Juice, Chicken"
9,"Cereal, Beer, Yogurt, Apple"
10,"Yogurt, Salt, Eggs, Diaper, Sugar"
11,"Eggs, Chicken, Apple"
12,"Chips, Beef, Butter, Chicken, Cereal"
13,"Bread, Cheese, Coffee, Beef, Sugar"
14,"Banana, Cereal, Yogurt, Diaper"
15,"Cereal, Eggs, Diaper, Sugar"
16,"Juice, Chocolate, Coffee, Sugar, Eggs"
17,"Beef, Coffee, Diaper, Tea"
18,"Chocolate, Chicken"
19,"Salt, Butter, Diaper"
20,"Juice, Beer, Apple, Salt"
21,"Sugar, Yogurt, Milk"
22,"Juice, Chips, Sugar"
23,"Chips, Yogurt, Apple, Sugar, Bread"
24,"Sugar, Chips, Cereal, Chicken"
25,"Chocolate, Butter, Cheese, Sugar, Diaper"
26,"Apple, Butter"
27,"Beer, Salt, Apple"
28,"Salt, Milk"
29,"Chips, Apple, Butter, Beef, Milk"
30,"Yogurt, Coffee"
31,"Beer, Chips, Eggs"
32,"Cereal, Apple, Coffee, Chips"
33,"Chips, Juice"
34,"Diaper, Yogurt, Coffee, Sugar, Bread"
35,"Milk, Sugar, Cheese, Apple, Eggs"
36,"Bread, Yogurt"
37,"Sugar, Apple"
38,"Juice, Cheese, Chocolate, Chicken, Tea"
39,"Juice, Chocolate"
40,"Bread, Milk, Beer, Cheese, Salt"
41,"Milk, Banana, Sugar"
42,"Butter, Apple, Cereal"
43,"Tea, Butter, Yogurt, Juice"
44,"Apple, Yogurt, Chocolate, Diaper, Coffee"
45,"Eggs, Cereal, Yogurt, Chocolate"
46,"Chocolate, Banana"
47,"Banana, Beef, Sugar"
48,"Milk, Chips"
49,"Sugar, Chicken, Juice, Apple, Yogurt"
50,"Butter, Tea"
51,"Beer, Yogurt"
52,"Apple, Yogurt"
53,"Juice, Bread, Chips, Tea, Eggs"
54,"Milk, Chocolate, Sugar"
55,"Eggs, Coffee, Tea, Bread, Cereal"
56,"Butter, Chicken, Eggs, Bread, Chocolate"
57,"Banana, Apple, Salt, Coffee"
58,"Apple, Chips"
59,"Tea, Chips, Bread, Beef"
60,"Beer, Butter, Banana, Salt"
61,"Chocolate, Milk, Diaper, Chips, Cereal"
62,"Sugar, Chocolate, Eggs, Tea"
63,"Butter, Beef, Eggs, Coffee, Salt"
64,"Coffee, Tea, Sugar, Butter, Cheese"
65,"Yogurt, Cereal, Beer"
66,"Banana, Chicken, Yogurt"
67,"Cereal, Chips, Tea, Chicken, Bread"
68,"Beef, Juice, Coffee, Milk"
69,"Banana, Cereal, Apple, Juice, Eggs"
70,"Banana, Bread"
71,"Apple, Milk, Juice, Sugar, Banana"
72,"Cereal, Sugar, Bread, Chicken, Butter"
73,"Chocolate, Banana, Eggs"
74,"Diaper, Tea, Chocolate, Chips"
75,"Beer, Cheese, Banana"
76,"Banana, Tea, Butter, Yogurt, Juice"
77,"Juice, Coffee, Chicken, Bread"
78,"Juice, Salt, Cereal"
79,"Apple, Juice, Beer, Chips, Coffee"
80,"Bread, Sugar, Yogurt, Cheese"
81,"Chips, Butter"
82,"Chocolate, Sugar, Yogurt, Tea, Butter"
83,"Diaper, Yogurt, Cereal"
84,"Banana, Yogurt, Juice, Eggs"
85,"Cereal, Tea, Cheese"
86,"Beer, Chips, Milk, Coffee, Yogurt"
87,"Diaper, Bread, Cheese, Butter"
88,"Yogurt, Cereal"
89,"Chocolate, Beer, Salt, Chips, Juice"
90,"Banana, Sugar, Apple, Eggs"
91,"Yogurt, Salt, Beer, Bread"
92,"Milk, Coffee, Cereal"
93,"Coffee, Yogurt, Cheese, Butter, Milk"
94,"Sugar, Diaper, Banana, Chocolate"
95,"Diaper, Salt, Banana"
96,"Tea, Apple, Chocolate, Coffee"
97,"Coffee, Chips, Bread"
98,"Chips, Cheese"
99,"Bread, Milk, Chips, Tea"
100,"Butter, Cheese, Milk, Yogurt, Eggs"
